State/UT,2017 Crimes,2018 Crimes,2019 Crimes,Percentage State Share to Total (2019),Mid-Year Projected Female Population (in lakhs) (2019),Rate of Total Crime Against Women (2019),2018-2019 GDP Per Capita ($),2018-2019 Unemployment Rate (%),2021 Literacy Rate (%)
Andaman and Nicobar,236.0,271.0,266.0,0.1,15.5,17.2,3321,12.0,86.63
Andhra Pradesh,25993.0,27866.0,41550.0,10.2,376.4,110.4,2480,7.3,67.02
Arunachal Pradesh,132.0,147.0,135.0,0.0,1.9,72.2,2253,11.1,65.38
Assam,17909.0,16438.0,17746.0,4.4,261.4,67.9,1365,10.7,72.19
Bihar,337.0,368.0,317.0,0.1,7.3,43.3,659,10.5,61.8
Chandigarh,567.0,571.0,558.0,0.1,16.1,34.6,5297,8.2,86.05
Chhattisgarh,23082.0,27687.0,30025.0,7.4,168.9,177.8,1555,5.5,70.28
Dadra and Nagar Havel,301.0,249.0,170.0,0.0,5.9,28.7,635,1.8,76.24
Daman and Diu,79.0,75.0,43.0,0.0,10.4,4.1,988,0.0,87.1
Delhi,20098.0,20274.0,23183.0,5.7,223.9,103.5,5817,10.8,86.21
Goa,163.0,172.0,125.0,0.0,3.1,39.8,7029,9.1,88.7
Gujarat,14711.0,16920.0,18587.0,4.6,576.2,32.3,3283,3.2,78.03
Haryana,5397.0,5822.0,5934.0,1.5,379.2,15.6,3840,8.7,75.55
Himachal Pradesh,972.0,907.0,1070.0,0.3,19.7,54.5,3118,8.8,82.8
Jammu and Kashmir,56011.0,59445.0,59853.0,14.7,1081.4,55.4,1636,10.1,67.16
Jharkhand,453.0,442.0,515.0,0.1,5.4,95.2,1179,8.7,66.41
Karnataka,7996.0,8587.0,7689.0,1.9,143.8,53.5,3359,5.2,75.36
Kerala,20.0,38.0,49.0,0.0,2.3,21.6,3327,9.7,94.0
Lakshadweep,147.0,166.0,95.0,0.0,7.9,12.1,931,28.6,91.85
Madhya Pradesh,26.0,16.0,33.0,0.0,1.3,25.2,1461,7.4,69.32
Maharashtra,13076.0,13640.0,13395.0,3.3,93.1,144.0,3193,6.4,82.34
Manipur,369.0,362.0,329.0,0.1,7.6,43.1,1222,9.2,76.94
Meghalaya,8133.0,8329.0,8799.0,2.2,324.9,27.1,1417,7.5,74.43
Mizoram,11370.0,14326.0,14683.0,3.6,135.3,108.5,2773,9.1,91.33
Nagaland,1944.0,2817.0,2541.0,0.6,54.6,46.5,1918,21.1,79.55
Orissa,1246.0,1633.0,1636.0,0.4,36.1,45.4,1651,12.7,72.87
Puducherry,4620.0,5302.0,5886.0,1.5,141.9,41.5,3334,6.0,85.85
Punjab,3129.0,3437.0,3069.0,0.8,64.2,47.8,2536,7.0,75.84
Rajasthan,5911.0,7083.0,8760.0,2.2,183.3,47.8,1820,9.5,66.11
Sikkim,14078.0,13514.0,13828.0,3.4,325.1,42.5,6421,4.9,81.42
Tamil Nadu,11057.0,10461.0,11462.0,2.8,182.9,62.7,3184,6.7,80.09
Tripura,6.0,11.0,38.0,0.0,0.3,115.2,1851,13.5,87.22
Uttar Pradesh,29788.0,28942.0,27560.0,6.8,399.6,69.0,1043,10.6,67.68
Uttaranchal,30992.0,30394.0,30394.0,7.5,474.9,64.0,3250,13.4,78.82
West Bengal,31979.0,35497.0,37144.0,9.2,588.5,63.1,1634,4.9,76.26
